query_id,category,query,experiment,matched_concepts,top1_table,top3_tables,top5_tables,primary_hit_top1,relevant_hit_top3,relevant_hit_top5,first_relevant_rank,reciprocal_rank,column_hit_top3,column_hit_top5,relation_recall,total_ms,query_embedding_ms,semantic_search_ms,keyword_search_ms,relation_expansion_ms
Q001,clinical_natural_language,최근 간수치 검사 결과,keyword_no_expansion,,public.tb_lab_rst,public.tb_lab_rst|public.tb_img_rpt,public.tb_lab_rst|public.tb_img_rpt,True,True,True,1,1.0,True,True,,8.636099999421276,,,7.684862001042347,
Q002,clinical_natural_language,환자의 최근 혈당 검사,keyword_no_expansion,,public.tb_lab_rst,public.tb_lab_rst,public.tb_lab_rst,True,True,True,1,1.0,True,True,,7.19115299943951,,,6.691295999189606,
Q003,clinical_natural_language,신장기능 검사 결과,keyword_no_expansion,,public.tb_lab_rst,public.tb_lab_rst|public.tb_img_rpt,public.tb_lab_rst|public.tb_img_rpt,True,True,True,1,1.0,True,True,,6.049478997738333,,,5.622446999041131,
Q004,clinical_natural_language,최근 처방 약품,keyword_no_expansion,,public.tb_med_ord,public.tb_med_ord,public.tb_med_ord,True,True,True,1,1.0,False,True,,4.8287089994119015,,,4.594712998368777,
Q005,clinical_natural_language,고혈압 진단 이력,keyword_no_expansion,,public.tb_dgn_hist,public.tb_dgn_hist,public.tb_dgn_hist,True,True,True,1,1.0,True,True,,5.029331998230191,,,4.71419199675438,
Q006,clinical_natural_language,최근 영상 판독 결과,keyword_no_expansion,,public.tb_img_rpt,public.tb_img_rpt|public.tb_img_mst,public.tb_img_rpt|public.tb_img_mst,True,True,True,1,1.0,False,True,,6.555866999406135,,,6.122400001913775,
Q007,clinical_natural_language,최근 입원 기록,keyword_no_expansion,,public.tb_adm_hist,public.tb_adm_hist,public.tb_adm_hist,True,True,True,1,1.0,True,True,,4.727743002149509,,,4.456153001228813,
Q008,clinical_natural_language,퇴원요약 문서,keyword_no_expansion,,public.tb_cln_doc,public.tb_cln_doc,public.tb_cln_doc,True,True,True,1,1.0,False,True,,3.39718599934713,,,3.2509619995835237,
Q009,paraphrase,간기능 검사 수치 어디서 보나,keyword_no_expansion,,public.tb_lab_rst,public.tb_lab_rst,public.tb_lab_rst,True,True,True,1,1.0,True,True,,7.300289998966036,,,6.8286940004327334,
Q010,paraphrase,glucose lab results for patient,keyword_no_expansion,,public.tb_lab_mst,public.tb_lab_mst|public.tb_lab_rst|public.tb_lab_ord,public.tb_lab_mst|public.tb_lab_rst|public.tb_lab_ord,False,True,True,1,1.0,False,False,,10.723146999225719,,,9.412897001311649,
Q011,paraphrase,creatinine / eGFR kidney function labs,keyword_no_expansion,,public.tb_lab_mst,public.tb_lab_mst,public.tb_lab_mst,False,True,True,1,1.0,False,False,,5.9494950000953395,,,5.873127000086242,
Q012,paraphrase,medication order / 투약 처방 이력,keyword_no_expansion,,public.tb_med_ord,public.tb_med_ord,public.tb_med_ord,True,True,True,1,1.0,False,False,,7.768449999275617,,,7.236756002384936,
Q013,paraphrase,hypertension diagnosis history,keyword_no_expansion,,,,,False,False,False,,0.0,False,False,,3.685469000629382,,,3.6509810015559196,
Q014,paraphrase,radiology report findings and impression,keyword_no_expansion,,public.tb_img_rpt,public.tb_img_rpt,public.tb_img_rpt,True,True,True,1,1.0,True,True,,5.952811003226088,,,5.867715000931639,
Q015,paraphrase,inpatient admission ward history,keyword_no_expansion,,public.tb_ward_mst,public.tb_ward_mst|public.tb_adm_hist,public.tb_ward_mst|public.tb_adm_hist,False,True,True,1,1.0,True,True,,5.345182999008102,,,5.219434002356138,
Q016,paraphrase,discharge summary clinical document,keyword_no_expansion,,,,,False,False,False,,0.0,False,False,,4.8857490000955295,,,4.8495160008315,
Q017,schema_semantic,검사결과값이 저장된 컬럼,keyword_no_expansion,,,,,False,False,False,,0.0,False,False,,3.885965001245495,,,3.843724000034854,
Q018,schema_semantic,환자 이름이 들어있는 컬럼,keyword_no_expansion,,public.tb_pt_mst,public.tb_pt_mst,public.tb_pt_mst,True,True,True,1,1.0,True,True,,6.087948000640608,,,5.742846999055473,
Q019,schema_semantic,처방 용량(dose) 컬럼은 어디인가,keyword_no_expansion,,public.tb_med_ord,public.tb_med_ord,public.tb_med_ord,True,True,True,1,1.0,True,True,,7.013997001195094,,,6.729974997142563,
Q020,schema_semantic,진단일이 저장된 컬럼,keyword_no_expansion,,,,,False,False,False,,0.0,False,False,,3.946699998778058,,,3.912509000656428,
